model,layer,k,seed,clusterer,transform,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,12,20,3,spherical,whiten50_l2,50,0.352308988571167,0.06926757842302322,3.0798636927453797,28.71017349794576,0.43141252898040455,0.443,0.0004665164742618799,47.78717041015625
pretrained,12,20,4,spherical,whiten50_l2,50,0.352308988571167,0.06748033314943314,3.133033521284836,28.46075325409267,0.42231849512702707,0.4315,0.0004665164742618799,47.78717041015625
pretrained,12,20,0,lloyd,whiten100_l2,100,0.3435952663421631,0.038019128143787384,4.617835419387239,15.360979871576122,0.4257070307048623,0.4325,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,lloyd,whiten100_l2,100,0.3435952663421631,0.03767034038901329,4.604890702884715,15.38785853932354,0.4308001110306928,0.448,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,lloyd,whiten100_l2,100,0.3435952663421631,0.03892926126718521,4.669742079618393,15.275695727566147,0.41715672623106376,0.4375,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,lloyd,whiten100_l2,100,0.3435952663421631,0.03812764212489128,4.555259252680846,15.405113769733566,0.43612318146695356,0.442,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,lloyd,whiten100_l2,100,0.3435952663421631,0.04003065824508667,4.5088335901626735,15.443782053523478,0.4224580753455703,0.4215,9.214430610882118e-05,95.43193817138672
pretrained,12,20,0,spherical,whiten100_l2,100,0.3435952663421631,0.038749709725379944,4.208210191931887,14.923193343129896,0.4549107631878221,0.478,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,spherical,whiten100_l2,100,0.3435952663421631,0.040008533746004105,4.230745257991832,15.100415444415813,0.4512389785201165,0.4625,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,spherical,whiten100_l2,100,0.3435952663421631,0.03856642544269562,4.1595375761878115,15.11277350091515,0.4521630090598552,0.4525,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,spherical,whiten100_l2,100,0.3435952663421631,0.03836153447628021,4.259712964876703,14.85503100925629,0.43874059326553083,0.4505,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,spherical,whiten100_l2,100,0.3435952663421631,0.0377441942691803,4.319109800500669,14.784862052841452,0.4330086390137266,0.44,9.214430610882118e-05,95.43193817138672
